Cities	Diseases	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	Growth Rate	OverallLi	Rank City	Mask
Agra	cardiovascular	6	15	18	29	18	18	38	28	28	29	33	36	41	34	12.56	69.44	24	100001
Ahmedabad	cardiovascular	3	8	19	20	15	19	34	27	29	34	36	31	33	24	29.18	86.65	5	100002
Aizawl	cardiovascular	7	17	24	34	23	23	49	40	39	36	39	45	42	35	25.14	98.5	157	100003
Ajmer	cardiovascular	6	14	21	36	25	27	57	45	38	38	42	40	48	38	14.32	70.46	83	100004
Akola	cardiovascular	6	16	20	31	21	19	37	36	34	33	40	44	44	37	12.61	87.55	84	100005
Aligarh	cardiovascular	11	11	23	25	24	22	50	44	41	46	46	56	45	32	9.13	69.61	56	100006
Allahabad	cardiovascular	10	17	23	34	25	26	49	41	39	39	40	45	42	35	11.16	74.41	38	100007
Alwar	cardiovascular	4	13	17	24	19	17	56	34	42	29	39	53	54	36	39.32	71.68	144	100008
Amravati	cardiovascular	9	23	26	44	30	31	65	50	50	45	52	55	54	42	25.2	88.23	68	100009
Amritsar	cardiovascular	8	12	22	42	23	17	48	43	39	34	46	54	50	47	15.48	77.2	36	100010
Anantapur	cardiovascular	5	12	17	32	21	23	33	29	34	30	36	38	41	32	20.74	64.28	179	100011
Bareilly	cardiovascular	6	17	21	33	21	24	46	36	35	33	41	45	45	37	32.02	60.52	52	100012
Bathinda	cardiovascular	5	20	32	24	23	20	43	64	55	57	71	53	67	50	25.79	69.57	161	100013
Begusarai	cardiovascular	19	42	33	16	14	15	60	30	33	31	25	25	39	33	46.08	66.23	184	100014
Belgaum	cardiovascular	10	18	26	32	26	33	58	38	41	34	46	53	50	39	-25.35	73.94	96	100015
Bellary	cardiovascular	7	15	20	32	22	23	43	39	41	38	44	45	47	40	24.31	67.85	112	100016
Bhagalpur	cardiovascular	13	20	28	40	20	26	53	45	47	50	55	63	54	43	27.69	64.96	116	100017
Bharatpur	cardiovascular	9	15	22	45	33	30	89	79	54	55	61	62	56	39	17.92	71.16	183	100018
Bhavnagar	cardiovascular	6	13	19	26	20	19	41	37	38	37	46	47	46	36	18.22	76.84	76	100019
